source,target,frame,confidence,period
NORTH KOREA,UNITED STATES,THREAT,0.9,period3
NORTH KOREA,SOUTH KOREA,THREAT,0.9,period3
NORTH KOREA,ICBM,THREAT,0.9,period3
NORTH KOREA,NUCLEAR WEAPONS,THREAT,0.95,period3
NORTH KOREA,DENUCLEARIZATION,DIPLOMACY,0.85,period3
NORTH KOREA,CHINA,DIPLOMACY,0.85,period3
NORTH KOREA,RUSSIA,DIPLOMACY,0.8,period3
NORTH KOREA,SEOUL,THREAT,0.9,period3
NORTH KOREA,KOREAN PENINSULA,THREAT,0.85,period3
NORTH KOREA,KIM,THREAT,0.85,period3
NORTH KOREA,NON-AGGRESSION PACT,DIPLOMACY,0.9,period3
NORTH KOREA,NUCLEAR PROLIFERATION,THREAT,0.9,period3
SOUTH KOREA,ARMISTICE,THREAT,0.8,period3
UNITED STATES,NUCLEAR PROLIFERATION,THREAT,0.9,period3
JOHN BOLTON,TRUMP,THREAT,0.85,period3
TRUMP,IRAN NUCLEAR DEAL,ECONOMIC,0.8,period3
JOHN BOLTON,DONALD TRUMP,NEUTRAL,0.85,period3
JOHN BOLTON,NORTH KOREA,THREAT,0.85,period3
JOHN BOLTON,TRUMP'S ADMINISTRATION,NEUTRAL,0.9,period3
DONALD TRUMP,NORTH KOREA,DIPLOMACY,0.85,period3
DONALD TRUMP,IRAN,THREAT,0.9,period3
DONALD TRUMP,TRADE WARS,ECONOMIC,0.9,period3
NORTH KOREA,JAPAN,THREAT,0.95,period3
NORTH KOREA,KOREAN WAR,THREAT,0.9,period3
NORTH KOREA,KIM JONG-UN,THREAT,0.9,period3
NORTH KOREA,UNITED NATIONS,THREAT,0.9,period3
NORTH KOREA,US,THREAT,0.85,period3
NORTH KOREA,ROK,THREAT,0.9,period3
NORTH KOREA,NUCLEAR PROGRAM,THREAT,0.95,period3
NORTH KOREA,SANCTIONS,ECONOMIC,0.9,period3
SOUTH KOREA,SAMSUNG,ECONOMIC,0.9,period3
SOUTH KOREA,HYUNDAI,ECONOMIC,0.9,period3
KIM,ICBMS,THREAT,0.9,period3
US,SANCTIONS,ECONOMIC,0.9,period3
US,ROK,DIPLOMACY,0.8,period3
NORTH KOREA,NUKES,THREAT,0.95,period3
YONGBYON NUCLEAR RESEARCH CENTER,NUCLEAR PROGRAM,THREAT,0.9,period3
TRUMP,HANOI SUMMIT,DIPLOMACY,0.95,period3
KIM JONG-UN,HANOI SUMMIT,DIPLOMACY,0.95,period3
PARK CHUNG-HEE,SOUTH KOREA,THREAT,0.9,period3
NORTH KOREA,HANOI SUMMIT,DIPLOMACY,0.95,period3
NORTH KOREA,YONGBYEON,THREAT,0.8,period3
NORTH KOREA,WMDS,THREAT,0.9,period3
NORTH KOREA,SMALL DEAL,DIPLOMACY,0.9,period3
UNITED STATES,HANOI SUMMIT,DIPLOMACY,0.95,period3
UNITED STATES,DONALD TRUMP,DIPLOMACY,0.9,period3
UNITED STATES,SMALL DEAL,DIPLOMACY,0.9,period3
UNITED STATES,SOUTH KOREA,THREAT,0.85,period3
KIM JONG-UN,DONALD TRUMP,DIPLOMACY,0.95,period3
KIM JONG-UN,NORTH KOREA,THREAT,0.85,period3
KIM JONG-UN,SONGUN POLICY,THREAT,0.8,period3
KIM JONG-UN,BYUNGJIN POLICY,THREAT,0.8,period3
NORTH KOREA,SYNGMAN RHEE,NEUTRAL,0.85,period3
NORTH KOREA,COLD WAR,THREAT,0.85,period3
NORTH KOREA,KJU,THREAT,0.9,period3
NORTH KOREA,FAMINE,HUMANITARIAN,0.95,period3
NUCLEAR PROGRAM,KJU,THREAT,0.9,period3
ECONOMIC GROWTH,KJU,NEUTRAL,0.8,period3
NORTH KOREA,KIM JONG UN,THREAT,0.9,period3
NORTH KOREA,GADDAFI,THREAT,0.9,period3
NORTH KOREA,SADDAM HUSSEIN,THREAT,0.85,period3
NORTH KOREA,IRAN,THREAT,0.9,period3
NORTH KOREA,BEIJING,NEUTRAL,0.85,period3
NORTH KOREA,TOKYO,THREAT,0.9,period3
K-POP,SOUTH KOREA,NEUTRAL,0.9,period3
SOUTH KOREA,MINISTRY OF CULTURE,NEUTRAL,0.8,period3
SOUTH KOREA,CULTURAL EXPORTS,NEUTRAL,0.9,period3
SOUTH KOREA,BTS,NEUTRAL,0.9,period3
SOUTH KOREA,KDRAMAS,NEUTRAL,0.9,period3
SOUTH KOREA,CHANG-DONG DISTRICT,NEUTRAL,0.9,period3
SOUTH KOREA,CULTURAL INFLUENCE,NEUTRAL,0.9,period3
SOUTH KOREA,K-POP,NEUTRAL,0.9,period3
K-POP,KOREA CREATIVE CONTENT AGENCY,NEUTRAL,0.9,period3
K-POP,CHANG-DONG DISTRICT,NEUTRAL,0.9,period3
K-POP,SM ENTERTAINMENT,NEUTRAL,0.9,period3
K-POP,YG ENTERTAINMENT,NEUTRAL,0.9,period3
K-POP,JYP ENTERTAINMENT,NEUTRAL,0.9,period3
KIM DAE-JUNG,CULTURAL EXPORT POLICY,NEUTRAL,0.9,period3
ROH MOO-HYUN,CULTURAL EXPORT POLICY,NEUTRAL,0.9,period3
LEE MYUNG-BAK,CULTURAL EXPORT POLICY,NEUTRAL,0.8,period3
ASIAN FINANCIAL CRISIS,CULTURAL EXPORT POLICY,ECONOMIC,0.85,period3
SOUTH KOREA,USA,THREAT,0.9,period3
SOUTH KOREA,JAPAN,DIPLOMACY,0.85,period3
SOUTH KOREA,NORTH KOREA,THREAT,0.95,period3
SOUTH KOREA,TRIANGULAR ALLIANCE,THREAT,0.9,period3
SOUTH KOREA,KOREAN WAR,NEUTRAL,0.8,period3
SOUTH KOREA,CHINA,ECONOMIC,0.8,period3
SOUTH KOREA,S-400,THREAT,0.9,period3
SOUTH KOREA,F-35,THREAT,0.95,period3
SOUTH KOREA,THAAD,THREAT,0.9,period3
JAPAN,USA,NEUTRAL,0.8,period3
KIM JONG-UN,ETHEREUM,HUMANITARIAN,0.8,period3
JAMIE METZL,NORTH KOREA,THREAT,0.9,period3
KOREAN WAR,CHINA,THREAT,0.9,period3
KOREAN WAR,NORTH KOREA,NEUTRAL,0.9,period3
KOREAN WAR,SOUTH KOREA,NEUTRAL,0.9,period3
KOREAN WAR,PEOPLE'S VOLUNTEER ARMY,NEUTRAL,0.8,period3
KOREAN WAR,UN FORCES,THREAT,0.9,period3
NORTH KOREA,F-35A,THREAT,0.8,period3
NORTH KOREA,UPBIT,NEUTRAL,0.8,period3
NORTH KOREA,KCTV,THREAT,0.85,period3
TRUMP,KIM JONG UN,DIPLOMACY,0.9,period3
TRUMP,DMZ,DIPLOMACY,0.95,period3
KIM JONG UN,SOUTH KOREAN NEWSPAPERS,NEUTRAL,0.8,period3
DPRK,US,DIPLOMACY,0.9,period3
DPRK,ROK,NEUTRAL,0.8,period3
DPRK,UNSC,ECONOMIC,0.9,period3
DPRK,SOHAE,THREAT,0.9,period3
DPRK,MISSILE TEST,THREAT,0.9,period3
DPRK,SANCTIONS,ECONOMIC,0.8,period3
US,NORTH KOREA,DIPLOMACY,0.9,period3
ROK,GWANGJU UPRISING,NEUTRAL,0.8,period3
ROK,KOREAN PENINSULA,NEUTRAL,0.9,period3
KJU,TRUMP,DIPLOMACY,0.9,period3
B52,KOREAN WAR,THREAT,0.9,period3
CHINA,SOUTH KOREA,THREAT,0.85,period3
SOUTH KOREA,SEMICONDUCTORS,ECONOMIC,0.85,period3
SOUTH KOREA,KPOP,ECONOMIC,0.8,period3
SOUTH KOREA,ELECTRIC CAR BATTERY PLANTS,NEUTRAL,0.9,period3
SOUTH KOREA,OLED PANEL PLANTS,ECONOMIC,0.9,period3
MOON,XI JINPING,DIPLOMACY,0.95,period3
MOON,DENUCLEARIZATION,DIPLOMACY,0.9,period3
XI JINPING,KIM JONG-UN,DIPLOMACY,0.85,period3
KIM JONG-UN,PYONGYANG,THREAT,0.9,period3
DENUCLEARIZATION,YONGBYON,DIPLOMACY,0.85,period3
NORTH KOREA,MOON,DIPLOMACY,0.9,period3
NORTH KOREA,US GOVERNMENT,THREAT,0.9,period3
NORTH KOREA,KOREAN GOVERNMENT,DIPLOMACY,0.8,period3
NORTH KOREA,YONGBYON,DIPLOMACY,0.9,period3
NORTH KOREA,CHONGJIN,NEUTRAL,0.9,period3
NORTH KOREA,DPRK,NEUTRAL,0.9,period3
NORTH KOREA,90S FAMINE,HUMANITARIAN,0.85,period3
MOON,EUROPEAN LEADERS,DIPLOMACY,0.9,period3
MOON,SOUTH KOREA,NEUTRAL,0.8,period3
MOON,US GOVERNMENT,DIPLOMACY,0.9,period3
FISHING BOATS,CHONGJIN,NEUTRAL,1.0,period3
NORTH KOREA,TRUMP,DIPLOMACY,0.9,period3
NORTH KOREA,MISSILE,THREAT,0.95,period3
NORTH KOREA,PANMUNJOM AGREEMENT,DIPLOMACY,0.85,period3
NORTH KOREA,SHORT-RANGE MISSILE,THREAT,0.95,period3
NORTH KOREA,MISSILE TEST,THREAT,0.9,period3
SOUTH KOREA,SHORT-RANGE MISSILE,THREAT,0.95,period3
SOUTH KOREA,PYEONGCHANG OLYMPICS,DIPLOMACY,0.9,period3
ROK,DPRK,THREAT,0.8,period3
KJU,MISSILE TEST,THREAT,0.9,period3
KIM JONG UN,NORTH KOREA,THREAT,0.9,period3
NORTH KOREA,MID-RANGE MISSILE,THREAT,0.9,period3
NORTH KOREA,NUCLEAR BOMB,THREAT,0.9,period3
NORTH KOREA,NUCLEAR POLICY,THREAT,0.8,period3
NORTH KOREA,KOREA,NEUTRAL,0.9,period3
NORTH KOREA,DEFENSE AGREEMENT,NEUTRAL,0.85,period3
SOUTH KOREA,NUCLEAR POLICY,NEUTRAL,0.85,period3
SOUTH KOREA,MOON ADMINISTRATION,NEUTRAL,0.9,period3
SOUTH KOREA,KOREA,NEUTRAL,1.0,period3
UAE,NUCLEAR POLICY,NEUTRAL,0.8,period3
UAE,MOON ADMINISTRATION,DIPLOMACY,0.8,period3
KIM JONG UN,UNITED STATES,DIPLOMACY,0.85,period3
KIM JONG UN,SUPREME PEOPLE'S ASSEMBLY,NEUTRAL,0.9,period3
KIM JONG UN,SANCTIONS,ECONOMIC,0.9,period3
UNITED STATES,SANCTIONS,ECONOMIC,0.9,period3
NUCLEAR TALKS,HANOI SUMMIT,DIPLOMACY,0.9,period3
NUCLEAR TALKS,SINGAPORE SUMMIT,DIPLOMACY,0.9,period3
BARAKAH,KHNP,NEUTRAL,0.85,period3
MOON,KHNP,ECONOMIC,0.85,period3
KIM JONG-UN,TRUMP ADMINISTRATION,DIPLOMACY,0.9,period3
KIM JONG-UN,SOUTH KOREA,DIPLOMACY,0.9,period3
KIM JONG-UN,MOON JAE-IN,DIPLOMACY,0.95,period3
NORTH KOREA,TRUMP ADMINISTRATION,DIPLOMACY,0.8,period3
UNITED STATES,DENUCLEARIZATION,DIPLOMACY,0.85,period3
SOUTH KOREA,MOON JAE-IN,DIPLOMACY,0.95,period3
DENUCLEARIZATION,TRUMP ADMINISTRATION,DIPLOMACY,0.95,period3
G20 MEETING,TRUMP ADMINISTRATION,DIPLOMACY,0.85,period3
KIM JONG-UN,KENJI FUJIMOTO,NEUTRAL,0.9,period3
KIM JONG-UN,LETTER,DIPLOMACY,0.9,period3
NORTH KOREA,DONALD TRUMP,DIPLOMACY,0.9,period3
DONALD TRUMP,G20 SUMMIT,DIPLOMACY,0.9,period3
DONALD TRUMP,LETTER,DIPLOMACY,0.95,period3
XI JINPING,NORTH KOREA,DIPLOMACY,0.85,period3
KIM JONG-UN,CHINA,DIPLOMACY,0.85,period3
KIM JONG-UN,RODONG SINMUN,DIPLOMACY,0.8,period3
NORTH KOREA,PETER WARD,ECONOMIC,0.9,period3
NORTH KOREA,NORTH KOREA'S NUCLEAR PROGRAM,DIPLOMACY,0.85,period3
CHINA,KOREAN PENINSULA,DIPLOMACY,0.9,period3
CHINA,NORTH KOREA'S NUCLEAR PROGRAM,DIPLOMACY,0.8,period3
NORTH KOREA,PROPAGANDA,NEUTRAL,0.8,period3
NORTH KOREA,PROPAGANDA MACHINE,NEUTRAL,0.8,period3
KIM JONG-UN,GENERAL,THREAT,0.8,period3
KIM JONG-UN,PIRANHA-FILLED TANK,HUMANITARIAN,0.85,period3
PIRANHA-FILLED TANK,JAMES BOND,NEUTRAL,0.8,period3
PROPAGANDA,DAILY STAR,NEUTRAL,0.8,period3
DAILY STAR,SENSATIONALIZED ARTICLES,NEUTRAL,0.8,period3
KIM JONG-UN,MASS GAMES,NEUTRAL,0.8,period3
KIM JONG-UN,KIM YO-JONG,NEUTRAL,0.9,period3
KIM JONG-UN,KIM YONG-CHOL,DIPLOMACY,0.85,period3
KIM JONG-UN,PROPAGANDA,NEUTRAL,0.8,period3
KIM JONG-UN,BRITISH TABLOIDS,NEUTRAL,0.8,period3
DONALD TRUMP,LONDON,NEUTRAL,0.8,period3
KIM JONG-UN,KIM HYOK-CHOL,THREAT,0.85,period3
KIM JONG-UN,PUTIN,DIPLOMACY,0.9,period3
DONALD TRUMP,MAYOR OF NEW YORK,NEUTRAL,0.9,period3
DONALD TRUMP,MAYOR OF LONDON,NEUTRAL,0.9,period3
NORTH KOREA,KIM HYOK-CHOL,DIPLOMACY,0.9,period3
NORTH KOREA,KIM YONG-CHOL,DIPLOMACY,0.9,period3
SCOTLAND,UK,NEUTRAL,0.9,period3
KIM JONG-UN,TRUMP,DIPLOMACY,0.9,period3
KIM JONG-UN,CHOSUN ILBO,THREAT,0.8,period3
KIM HYOK-CHOL,HANOI SUMMIT,DIPLOMACY,0.9,period3
KIM YONG-CHOL,HANOI SUMMIT,DIPLOMACY,0.9,period3
KIM YONG-CHOL,MIKE POMPEO,DIPLOMACY,0.95,period3
KIM JONG-UN,JOE BIDEN,THREAT,0.8,period3
KIM JONG-UN,DENUCLEARIZATION,DIPLOMACY,0.9,period3
HANOI SUMMIT,KIM YONG-CHOL,DIPLOMACY,0.9,period3
HANOI SUMMIT,KIM HYOK-CHOL,NEUTRAL,0.9,period3
KIM YO-JONG,POLITICAL PRISON CAMP,NEUTRAL,0.8,period3
KIM YONG-CHOL,JAGANG PROVINCE,DIPLOMACY,0.8,period3
KIM JONG-UN,EAST SEA,THREAT,0.9,period3
KIM JONG-UN,CHEMICAL WEAPON,THREAT,0.9,period3
NORTH KOREA,GERMAN FOREIGN MINISTRY,THREAT,0.85,period3
TRUMP,PUTIN,DIPLOMACY,0.85,period3
TRUMP,KIM JONG-UN,DIPLOMACY,0.85,period3
TRUMP,2016 ELECTION,NEUTRAL,0.9,period3
TRUMP,IRAN DEAL,NEUTRAL,0.8,period3
KIM JONG-UN,DAIMLER,NEUTRAL,0.8,period3
KIM JONG-UN,RUSSIA,DIPLOMACY,0.95,period3
KIM JONG-UN,SINGAPORE,DIPLOMACY,0.9,period3
KIM JONG-UN,VLAIDVOSTOK,DIPLOMACY,0.9,period3
NORTH KOREA,KIM JONG-NAM,NEUTRAL,0.9,period3
NORTH KOREA,EAST SEA,THREAT,0.9,period3
DOAN THI HUONG,KIM JONG-NAM,THREAT,0.85,period3
DOAN THI HUONG,MALAYSIA,NEUTRAL,0.8,period3
KIM JONG-NAM,KUALA LUMPUR,NEUTRAL,0.8,period3
KIM JONG-UN,VLADIMIR PUTIN,NEUTRAL,0.8,period3
KIM JONG-UN,KOREAN CENTRAL NEWS AGENCY,NEUTRAL,0.9,period3
VLADIMIR PUTIN,RUSSIA,DIPLOMACY,0.85,period3
VLADIMIR PUTIN,NORTH KOREA,DIPLOMACY,0.8,period3
NORTH KOREA,UNITED NATIONS SECURITY COUNCIL,THREAT,0.95,period3
NORTH KOREA,VLADIVOSTOK SUMMIT,DIPLOMACY,0.85,period3
NORTH KOREA,"40,000 NORTH KOREAN LABORERS",ECONOMIC,0.85,period3
RUSSIA,"40,000 NORTH KOREAN LABORERS",DIPLOMACY,0.8,period3
VLADIVOSTOK SUMMIT,UNITED NATIONS SECURITY COUNCIL,ECONOMIC,0.9,period3
VLADIMIR PUTIN,KIM JONG-UN,ECONOMIC,0.8,period3
VLADIMIR PUTIN,SUMMIT,DIPLOMACY,0.9,period3
KIM JONG-UN,SUMMIT,DIPLOMACY,0.85,period3
KIM JONG-UN,DPRK SECURITY FORCES,NEUTRAL,0.8,period3
KIM JONG-UN,KIM JONG-IL,NEUTRAL,0.9,period3
KIM JONG-UN,US,ECONOMIC,0.85,period3
KIM JONG-UN,SANCTIONS,ECONOMIC,0.9,period3
RUSSIA,SUMMIT,DIPLOMACY,0.9,period3
RUSSIA,US,NEUTRAL,0.8,period3
KIM JONG UN,PUTIN,DIPLOMACY,0.85,period3
KIM JONG UN,DONALD TRUMP,DIPLOMACY,0.95,period3
KIM JONG UN,MICHAEL MADDEN,NEUTRAL,0.8,period3
KIM JONG UN,STATE AFFAIRS COMMISSION,NEUTRAL,0.9,period3
KIM JONG UN,NORTH KOREAN ELECTION,NEUTRAL,0.9,period3
KIM JONG UN,KIM JONG IL,NEUTRAL,0.9,period3
KIM JONG UN,NORTH KOREAN NUCLEAR STRATEGY,THREAT,0.9,period3
KIM JONG UN,KIM JONG UN'S HALF-BROTHER,NEUTRAL,0.85,period3
KIM JONG UN'S HALF-BROTHER,VIETNAMESE WOMAN,NEUTRAL,0.8,period3
KIM JONG-UN,VIETNAMESE WOMAN,NEUTRAL,0.85,period3
KIM JONG-UN,DENUCLEARISATION TALKS,DIPLOMACY,0.9,period3
KIM JONG-UN,HANOI,DIPLOMACY,0.9,period3
KIM JONG-UN,WORKERS' PARTY OF KOREA,NEUTRAL,0.9,period3
KIM JONG-UN,KIM JONG-UN'S HALF-BROTHER,NEUTRAL,0.8,period3
NORTH KOREA,CHEOLLIMA CIVIL DEFENCE,NEUTRAL,0.8,period3
CHEOLLIMA CIVIL DEFENCE,MADRID,NEUTRAL,0.85,period3
CHEOLLIMA CIVIL DEFENCE,NORTH KOREAN EMBASSY RAID,THREAT,0.8,period3
KIM JONG-UN,KIM JONG-NAM,HUMANITARIAN,0.85,period3
KIM JONG-UN,POMPEO,DIPLOMACY,0.9,period3
WORKERS' PARTY OF KOREA,NORTH KOREAN ELECTION,NEUTRAL,0.9,period3
KIM JONG-NAM,SITI AISYAH,NEUTRAL,0.9,period3
KIM JONG-UN,PROPAGANDA AND AGITATION DEPARTMENT,NEUTRAL,0.8,period3
DONALD TRUMP,HANOI MEETING,DIPLOMACY,0.9,period3
DONALD TRUMP,SUMMIT,DIPLOMACY,0.9,period3
NORTH KOREA,HANOI MEETING,NEUTRAL,0.8,period3
NORTH KOREA,ROCKET LAUNCH SITE,DIPLOMACY,0.8,period3
NORTH KOREA,US SPECIAL ENVOY,DIPLOMACY,0.9,period3
NORTH KOREA,SUMMIT,DIPLOMACY,0.9,period3
SITI AISYAH,KIM JONG-NAM,NEUTRAL,0.8,period3
KIM JONG-NAM,MALAYSIA,DIPLOMACY,0.85,period3
KIM JONG-UN,OTTO WARMBIER,HUMANITARIAN,0.95,period3
KIM JONG-UN,KIM IL-SUNG,NEUTRAL,0.8,period3
TRUMP,NORTH KOREA,DIPLOMACY,0.9,period3
TRUMP,SUMMIT,DIPLOMACY,0.9,period3
NORTH KOREA,OTTO WARMBIER,HUMANITARIAN,0.9,period3
SUMMIT,VIETNAM,DIPLOMACY,0.95,period3
KIM JONG-UN,ICBM,THREAT,0.9,period3
NORTH KOREA,FREE JOSEON,NEUTRAL,0.8,period3
FREE JOSEON,MADRID EMBASSY RAID,THREAT,0.85,period3
OTTO WARMBIER,KHIZR KHAN,HUMANITARIAN,0.85,period3
NORTH KOREA,YONGBYON NUCLEAR COMPLEX,THREAT,0.95,period3
NORTH KOREA,SANUMDONG,THREAT,0.9,period3
NORTH KOREA,NUCLEAR DEAL,DIPLOMACY,0.9,period3
NORTH KOREA,SOUTH KOREA'S JOONGANG ILBO,THREAT,0.8,period3
NORTH KOREA,DONGA ILBO,THREAT,0.8,period3
KIM JONG UN,TRUMP,DIPLOMACY,0.9,period3
MIKE POMPEO,NORTH KOREA,DIPLOMACY,0.9,period3
MIKE POMPEO,DONALD TRUMP,DIPLOMACY,0.9,period3
NORTH KOREA,NUCLEAR DISARMAMENT DEAL,DIPLOMACY,0.9,period3
NORTH KOREA,BOLTON,THREAT,0.95,period3
NORTH KOREA,PUNGGYE-RI NUCLEAR TEST SITE,THREAT,0.9,period3
DONALD TRUMP,VIETNAM,DIPLOMACY,0.9,period3
NORTH KOREA,NORTH KOREA'S NUCLEAR BOMB,THREAT,0.9,period3
NORTH KOREA,SLBM,THREAT,0.9,period3
NORTH KOREA,CRYPTO THEFT,THREAT,0.9,period3
NORTH KOREA,NORTH KOREA'S SUBMARINE,THREAT,0.95,period3
NORTH KOREA,DPRK NAVY,NEUTRAL,0.9,period3
TRUMP,JOHN BOLTON,DIPLOMACY,0.8,period3
TRUMP,EASTERN EUROPE,THREAT,0.85,period3
NORTH KOREA,INDEPENDENT INSPECTORS,DIPLOMACY,0.85,period3
NORTH KOREA,CRYPTOCURRENCY,ECONOMIC,0.9,period3
NORTH KOREA,$700 MILLION CRYPTO THEFT,THREAT,0.9,period3
TRUMP,G-20 SUMMIT,DIPLOMACY,0.9,period3
KIM JONG UN,DMZ,DIPLOMACY,0.9,period3
SOUTH KOREA,UNIFICATION MINISTER,NEUTRAL,0.8,period3
DONALD TRUMP,KIM JONG UN,DIPLOMACY,0.9,period3
DONALD TRUMP,SOUTH KOREA,DIPLOMACY,0.85,period3
